Name,Sector,Gender,Number,Percentage
נדא,Arab,Female,71,0.42
נדין,Arab,Female,69,0.41
אסמא,Arab,Female,64,0.38
ריתאג,Arab,Female,63,0.37
ריתאג',Arab,Female,62,0.37
רגד,Arab,Female,62,0.37
רים,Arab,Female,62,0.37
אלאא,Arab,Female,60,0.35
עאישה,Arab,Female,59,0.35
היבא,Arab,Female,58,0.34
סגא,Arab,Female,56,0.33
תאליא,Arab,Female,56,0.33
סירין,Arab,Female,54,0.32
רואיה,Arab,Female,54,0.32
איאת,Arab,Female,51,0.3
קמר,Arab,Female,51,0.3
חנאן,Arab,Female,48,0.28
רימא,Arab,Female,48,0.28
לוגין,Arab,Female,48,0.28
חדיגה,Arab,Female,47,0.28
תלין,Arab,Female,46,0.27
מונא,Arab,Female,45,0.27
אמנה,Arab,Female,45,0.27
אמירה,Arab,Female,44,0.26
תסנים,Arab,Female,43,0.25
ג'נאת,Arab,Female,42,0.25
סלמה,Arab,Female,42,0.25
רזאן,Arab,Female,41,0.24
סדיל,Arab,Female,41,0.24
רסיל,Arab,Female,40,0.24
למיס,Arab,Female,40,0.24
דאניה,Arab,Female,38,0.22
חנין,Arab,Female,38,0.22
רואה,Arab,Female,37,0.22
סואר,Arab,Female,37,0.22
רחמה,Arab,Female,37,0.22
ביילסאן,Arab,Female,35,0.21
סיבא,Arab,Female,35,0.21
הדיל,Arab,Female,35,0.21
דועאא,Arab,Female,34,0.2
אסראא,Arab,Female,34,0.2
רנים,Arab,Female,34,0.2
רוסול,Arab,Female,33,0.19
ג'אנה,Arab,Female,32,0.19
שימאא,Arab,Female,32,0.19
ג'ואן,Arab,Female,32,0.19
מאסה,Arab,Female,32,0.19
שמס,Arab,Female,31,0.18
רתיל,Arab,Female,31,0.18
רינאד,Arab,Female,31,0.18
מסק,Arab,Female,30,0.18
הודא,Arab,Female,30,0.18
סנא,Arab,Female,29,0.17
לינא,Arab,Female,28,0.17
נרמין,Arab,Female,28,0.17
ג'ינא,Arab,Female,28,0.17
סבא,Arab,Female,27,0.16
הנא,Arab,Female,26,0.15
רוקיה,Arab,Female,26,0.15
ספא,Arab,Female,26,0.15
גינא,Arab,Female,26,0.15
סונדוס,Arab,Female,25,0.15
לרין,Arab,Female,25,0.15
מייסם,Arab,Female,25,0.15
בושרא,Arab,Female,25,0.15
רואן,Arab,Female,25,0.15
רנא,Arab,Female,24,0.14
סדין,Arab,Female,24,0.14
יקין,Arab,Female,24,0.14
סדן,Arab,Female,24,0.14
ג'ודי,Arab,Female,23,0.14
ג'זל,Arab,Female,23,0.14
בסמה,Arab,Female,23,0.14
נגם,Arab,Female,23,0.14
מראם,Arab,Female,23,0.14
מרווה,Arab,Female,23,0.14
באנה,Arab,Female,23,0.14
מירנא,Arab,Female,22,0.13
וופא,Arab,Female,22,0.13
ראמה,Arab,Female,22,0.13
אילאף,Arab,Female,22,0.13
סלין,Arab,Female,22,0.13
אבראר,Arab,Female,22,0.13
אריג',Arab,Female,21,0.12
סידרא,Arab,Female,21,0.12
מהא,Arab,Female,21,0.12
יומנא,Arab,Female,21,0.12
אסינאת,Arab,Female,21,0.12
מנאר,Arab,Female,20,0.12
חיאת,Arab,Female,20,0.12
נאדיה,Arab,Female,20,0.12
סוג'וד,Arab,Female,20,0.12
אינס,Arab,Female,19,0.11
רנין,Arab,Female,19,0.11
טיבה,Arab,Female,19,0.11
חביבה,Arab,Female,19,0.11
עליה,Arab,Female,18,0.11
נואל,Arab,Female,18,0.11
בתול,Arab,Female,18,0.11
אמינה,Arab,Female,18,0.11
נבאא,Arab,Female,18,0.11
לימאר,Arab,Female,18,0.11
סלסביל,Arab,Female,17,0.1
גודי,Arab,Female,17,0.1
לוג'ין,Arab,Female,17,0.1
יוסרא,Arab,Female,17,0.1
מרח,Arab,Female,17,0.1
דיאלא,Arab,Female,17,0.1
חלימה,Arab,Female,16,0.09
דאנה,Arab,Female,16,0.09
סמירה,Arab,Female,16,0.09
סמאח,Arab,Female,16,0.09
אחלאם,Arab,Female,16,0.09
דינא,Arab,Female,16,0.09
חור,Arab,Female,16,0.09
מיריל,Arab,Female,9,0.9
ג'ולי,Arab,Female,8,0.8
לורד,Arab,Female,8,0.8
מריאן,Arab,Female,5,0.5
סילינה,Arab,Female,5,0.5
ג'וליה,Arab,Female,5,0.5
ג'ולין,Arab,Female,5,0.5
ליא,Arab,Female,8,0.72
נועה,Jew,Female,1478,2.39
תמר,Jew,Female,1381,2.23
שירה,Jew,Female,1201,1.94
יעל,Jew,Female,1135,1.83
אדל,Jew,Female,1096,1.77
אביגיל,Jew,Female,1039,1.68
איילה,Jew,Female,932,1.51
אסתר,Jew,Female,768,1.24
נויה,Jew,Female,764,1.23
חנה,Jew,Female,719,1.16
אלה,Jew,Female,709,1.15
ליה,Jew,Female,706,1.14
רבקה,Jew,Female,687,1.11
רחל,Jew,Female,642,1.04
הודיה,Jew,Female,630,1.02
עלמה,Jew,Female,619,1
תהל,Jew,Female,557,0.9
חיה,Jew,Female,544,0.88
הילה,Jew,Female,520,0.84
נעמי,Jew,Female,508,0.82
רות,Jew,Female,504,0.81
נגה,Jew,Female,502,0.81
אמה,Jew,Female,472,0.76
גאיה,Jew,Female,401,0.65
אפרת,Jew,Female,398,0.64
לאה,Jew,Female,393,0.63
תהילה,Jew,Female,388,0.63
מיקה,Jew,Female,370,0.6
הדסה,Jew,Female,368,0.59
נעמה,Jew,Female,358,0.58
אמילי,Jew,Female,333,0.54
יהודית,Jew,Female,325,0.53
הדס,Jew,Female,321,0.52
מלכה,Jew,Female,300,0.48
מוריה,Jew,Female,287,0.46
אבישג,Jew,Female,283,0.46
אלישבע,Jew,Female,266,0.43
שני,Jew,Female,252,0.41
דבורה,Jew,Female,239,0.39
אנאל,Jew,Female,233,0.38
נחמה,Jew,Female,219,0.35
אודל,Jew,Female,217,0.35
ברכה,Jew,Female,207,0.33
מאי,Jew,Female,206,0.33
אביטל,Jew,Female,182,0.29
בת שבע,Jew,Female,181,0.29
אלמה,Jew,Female,180,0.29
דניאלה,Jew,Female,176,0.28
הילי,Jew,Female,176,0.28
שילת,Jew,Female,168,0.27
חוה,Jew,Female,162,0.26
צפורה,Jew,Female,161,0.26
יערה,Jew,Female,160,0.26
אלונה,Jew,Female,159,0.26
לינוי,Jew,Female,156,0.25
בתיה,Jew,Female,153,0.25
גלי,Jew,Female,150,0.24
שיראל,Jew,Female,147,0.24
בת,Jew,Female,143,0.23
פיגא,Jew,Female,138,0.22
שושנה,Jew,Female,135,0.22
שי לי,Jew,Female,129,0.21
ענהאל,Jew,Female,124,0.2
רעות,Jew,Female,117,0.19
רונה,Jew,Female,113,0.18
אליאן,Jew,Female,112,0.18
תאיר,Jew,Female,112,0.18
שולמית,Jew,Female,106,0.17
דריה,Jew,Female,103,0.17
יסכה,Jew,Female,101,0.16
איילת,Jew,Female,101,0.16
ליהי,Jew,Female,100,0.16
אמונה,Jew,Female,94,0.15
לורן,Jew,Female,93,0.15
ליהיא,Jew,Female,93,0.15
יולי,Jew,Female,93,0.15
הללי,Jew,Female,93,0.15
טובה,Jew,Female,90,0.15
פנינה,Jew,Female,86,0.14
סופיה,Jew,Female,85,0.14
נוי,Jew,Female,85,0.14
גיטל,Jew,Female,81,0.13
בלומה,Jew,Female,81,0.13
יעלה,Jew,Female,79,0.13
אדוה,Jew,Female,79,0.13
ניקול,Jew,Female,77,0.12
רננה,Jew,Female,77,0.12
עמליה,Jew,Female,75,0.12
צופיה,Jew,Female,75,0.12
יוכבד,Jew,Female,75,0.12
אלינור,Jew,Female,73,0.12
שיינא,Jew,Female,72,0.12
ספיר,Jew,Female,72,0.12
שלי,Jew,Female,71,0.11
אנה,Jew,Female,71,0.11
אחינועם,Jew,Female,68,0.11
תמרה,Jew,Female,66,0.11
שפרה,Jew,Female,65,0.11
אווה,Jew,Female,63,0.1
אודליה,Jew,Female,63,0.1
מיכאלה,Jew,Female,61,0.1
ליבא,Jew,Female,61,0.1
מילה,Jew,Female,61,0.1
שירי,Jew,Female,60,0.1
תפארת,Jew,Female,60,0.1
משי,Jew,Female,60,0.1
נינה,Jew,Female,59,0.1
קורל,Jew,Female,59,0.1
אורה,Jew,Female,57,0.09
דפנה,Jew,Female,55,0.09
ליאה,Jew,Female,55,0.09
צביה,Jew,Female,55,0.09
זואי,Jew,Female,53,0.09
לייה,Jew,Female,52,0.08
דינה,Jew,Female,50,0.08
לילי,Jew,Female,50,0.08
גילה,Jew,Female,50,0.08
אודיה,Jew,Female,49,0.08
עדינה,Jew,Female,49,0.08
אהובה,Jew,Female,47,0.08
נופר,Jew,Female,46,0.07
אליענה,Jew,Female,45,0.07
מרגלית,Jew,Female,45,0.07
איימי,Jew,Female,44,0.07
רייזל,Jew,Female,44,0.07
ענבל,Jew,Female,44,0.07
יוטא,Jew,Female,44,0.07
עטרה,Jew,Female,41,0.07
גולדה,Jew,Female,40,0.06
טלי,Jew,Female,39,0.06
קרן,Jew,Female,38,0.06
גליה,Jew,Female,38,0.06
אליס,Jew,Female,38,0.06
אופל,Jew,Female,38,0.06
אמיליה,Jew,Female,37,0.06
נילי,Jew,Female,37,0.06
אילת,Jew,Female,37,0.06
הינדא,Jew,Female,37,0.06
קים,Jew,Female,37,0.06
מילי,Jew,Female,36,0.06
ליטל,Jew,Female,36,0.06
יפה,Jew,Female,36,0.06
פערל,Jew,Female,36,0.06
רינה,Jew,Female,36,0.06
מייה,Jew,Female,35,0.06
שיינדל,Jew,Female,35,0.06
חגית,Jew,Female,34,0.05
בת אל,Jew,Female,34,0.05
אלכסנדרה,Jew,Female,33,0.05
אמי,Jew,Female,33,0.05
מנוחה,Jew,Female,31,0.05
לילך,Jew,Female,31,0.05
רעיה,Jew,Female,31,0.05
בילא,Jew,Female,31,0.05
קארין,Jew,Female,30,0.05
ענאל,Jew,Female,30,0.05
קרני,Jew,Female,29,0.05
אלומה,Jew,Female,28,0.05
אליזבט,Jew,Female,28,0.05
ליאנה,Jew,Female,27,0.04
כליל,Jew,Female,26,0.04
ליאורה,Jew,Female,26,0.04
רוחמה,Jew,Female,26,0.04
אליסה,Jew,Female,25,0.04
הניה,Jew,Female,25,0.04
עליזה,Jew,Female,25,0.04
פריידא,Jew,Female,25,0.04
שירן,Jew,Female,25,0.04
מושקא,Jew,Female,24,0.04
אלינוי,Jew,Female,24,0.04
איידל,Jew,Female,24,0.04
ליב,Jew,Female,24,0.04
אוולין,Jew,Female,24,0.04
מיטל,Jew,Female,24,0.04
איילת השחר,Jew,Female,24,0.04
דיאנה,Jew,Female,23,0.04
אוליביה,Jew,Female,23,0.04
דורין,Jew,Female,23,0.04
אמלי,Jew,Female,22,0.04
שילי,Jew,Female,22,0.04
נאוה,Jew,Female,22,0.04
אנאבל,Jew,Female,22,0.04
שטערנא,Jew,Female,22,0.04
איטה,Jew,Female,22,0.04
אמור,Jew,Female,22,0.04
שרי,Jew,Female,22,0.04
צילה,Jew,Female,21,0.03
טהר,Jew,Female,21,0.03
מזל,Jew,Female,20,0.03
תהלה,Jew,Female,20,0.03
סופי,Jew,Female,19,0.03
מירב,Jew,Female,19,0.03
צירל,Jew,Female,19,0.03
סימא,Jew,Female,19,0.03
ראשית,Jew,Female,19,0.03
טויבא,Jew,Female,19,0.03
שירז,Jew,Female,19,0.03
ויקטוריה,Jew,Female,18,0.03
גבריאלה,Jew,Female,18,0.03
צליל,Jew,Female,18,0.03
ליאת,Jew,Female,18,0.03
זהבה,Jew,Female,18,0.03
גיטי,Jew,Female,18,0.03
איב,Jew,Female,17,0.03
עדיה,Jew,Female,17,0.03
הלן,Jew,Female,17,0.03
מירל,Jew,Female,17,0.03
היילי,Jew,Female,17,0.03
רותי,Jew,Female,17,0.03
אורטל,Jew,Female,17,0.03
תמרי,Jew,Female,17,0.03
חרות,Jew,Female,17,0.03
תכלת,Jew,Female,17,0.03
קמה,Jew,Female,17,0.03
רחלי,Jew,Female,16,0.03
אלינה,Jew,Female,16,0.03
אסנת,Jew,Female,16,0.03
קירה,Jew,Female,16,0.03
נלי,Jew,Female,16,0.03
כנרת,Jew,Female,16,0.03
ערבה,Jew,Female,15,0.02
נעומי,Jew,Female,15,0.02
שנהב,Jew,Female,15,0.02
